DATES,total_cases,border_cases
1997-05,1,0
1997-06,1,0
1997-07,1,0
1997-08,0,0
1997-09,0,0
1997-10,0,0
1997-11,0,0
1997-12,0,0
1998-01,0,0
1998-02,0,0
1998-03,1,0
1998-04,1,0
1998-05,2,0
1998-06,1,0
1998-07,1,0
1998-08,0,0
1998-09,0,0
1998-10,0,0
1998-11,1,0
1998-12,2,0
1999-01,2,0
1999-02,1,0
1999-03,2,0
1999-04,3,0
1999-05,3,0
1999-06,2,0
1999-07,4,0
1999-08,6,0
1999-09,5,0
1999-10,4,0
1999-11,2,0
1999-12,2,0
2000-01,3,0
2000-02,3,0
2000-03,4,0
2000-04,1,0
2000-05,1,0
2000-06,0,0
2000-07,0,0
2000-08,0,0
2000-09,0,0
2000-10,0,0
2000-11,0,0
2000-12,0,0
2001-01,1,0
2001-02,1,0
2001-03,1,0
2001-04,0,0
2001-05,0,0
2001-06,1,0
2001-07,1,0
2001-08,1,0
2001-09,0,0
2001-10,1,0
2001-11,1,0
2001-12,2,1
2002-01,1,1
2002-02,1,1
2002-03,0,0
2002-04,0,0
2002-05,0,0
2002-06,0,0
2002-07,0,0
2002-08,1,0
2002-09,1,0
2002-10,1,0
2002-11,0,0
2002-12,0,0
2003-01,0,0
2003-02,0,0
2003-03,0,0
2003-04,0,0
2003-05,0,0
2003-06,0,0
2003-07,0,0
2003-08,2,0
2003-09,2,0
2003-10,3,0
2003-11,1,0
2003-12,1,0
2004-01,0,0
2004-02,2,0
2004-03,2,0
2004-04,3,0
2004-05,1,0
2004-06,2,0
2004-07,1,0
2004-08,1,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,1,0
2005-07,1,0
2005-08,1,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,1,0
2006-06,2,0
2006-07,3,0
2006-08,2,0
2006-09,2,0
2006-10,2,0
2006-11,2,0
2006-12,2,0
2007-01,1,0
2007-02,1,0
2007-03,0,0
2007-04,0,0
2007-05,1,0
2007-06,1,0
2007-07,1,0
2007-08,2,0
2007-09,5,0
2007-10,6,0
2007-11,4,0
2007-12,1,0
2008-01,0,0
2008-02,0,0
2008-03,4,0
2008-04,6,0
2008-05,16,2
2008-06,16,5
2008-07,15,5
2008-08,5,3
2008-09,2,0
2008-10,2,0
2008-11,2,0
2008-12,2,1
2009-01,5,1
2009-02,5,1
2009-03,4,0
2009-04,0,0
2009-05,0,0
2009-06,1,0
2009-07,1,0
2009-08,1,0
2009-09,0,0
2009-10,0,0
2009-11,1,0
2009-12,2,0
2010-01,3,0
2010-02,3,0
2010-03,3,0
2010-04,2,0
2010-05,1,0
2010-06,0,0
2010-07,0,0
2010-08,1,0
2010-09,1,0
2010-10,2,0
2010-11,2,0
2010-12,2,0
2011-01,1,0
2011-02,0,0
2011-03,1,0
2011-04,2,0
2011-05,3,0
2011-06,6,0
2011-07,6,0
2011-08,6,0
2011-09,4,0
2011-10,5,0
2011-11,6,0
2011-12,7,0
2012-01,15,0
2012-02,26,0
2012-03,46,0
2012-04,52,0
2012-05,49,0
2012-06,37,0
2012-07,32,0
2012-08,37,0
2012-09,35,0
2012-10,29,0
2012-11,19,0
2012-12,14,0
2013-01,17,0
2013-02,19,0
2013-03,36,0
2013-04,33,0
2013-05,32,0
2013-06,13,0
2013-07,11,0
2013-08,8,0
2013-09,13,0
2013-10,16,0
2013-11,20,0
2013-12,14,0
2014-01,11,0
2014-02,12,0
2014-03,12,0
2014-04,13,0
2014-05,16,0
2014-06,16,0
2014-07,17,0
2014-08,7,0
2014-09,8,0
2014-10,5,0
2014-11,10,0
2014-12,13,0
2015-01,22,0
2015-02,22,0
2015-03,23,0
2015-04,25,0
2015-05,38,0
2015-06,41,2
2015-07,33,3
2015-08,33,3
2015-09,33,1
2015-10,33,0
2015-11,19,0
2015-12,17,1
2016-01,24,1
2016-02,29,1
2016-03,25,0
2016-04,19,0
2016-05,24,1
2016-06,30,1
2016-07,34,1
2016-08,27,0
2016-09,27,0
2016-10,27,0
2016-11,32,0
2016-12,34,0
2017-01,39,0
2017-02,43,1
2017-03,55,1
2017-04,62,1
2017-05,71,0
2017-06,85,0
2017-07,108,0
2017-08,108,1
2017-09,104,1
2017-10,90,1
2017-11,96,0
2017-12,86,0
2018-01,80,0
2018-02,77,0
2018-03,91,0
2018-04,112,0
2018-05,132,0
2018-06,141,0
2018-07,149,0
2018-08,124,1
2018-09,128,2
2018-10,142,4
2018-11,187,3
2018-12,209,7
2019-01,221,9
2019-02,219,11
2019-03,218,8
2019-04,231,5
2019-05,243,8
2019-06,252,8
2019-07,239,10
2019-08,226,9
2019-09,218,8
2019-10,219,6
2019-11,218,7
2019-12,222,10
2020-01,228,13
2020-02,244,9
2020-03,273,7
2020-04,292,10
2020-05,309,11
2020-06,310,9
2020-07,346,4
2020-08,347,4
2020-09,352,8
2020-10,327,8
2020-11,336,9
2020-12,290,7
2021-01,262,10
2021-02,240,9
2021-03,248,14
2021-04,214,12
